User,Assigned Item,Choice #,Rank,All Selections
800839,"US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat",1 (1st),25,"US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND09:00PM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND09:00PM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, , , , , , , , , , , , , , , , , "
800992,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday",1 (1st),32,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND09:00PM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND09:00PM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, , , , , , , , , , , , , , , , , "
800875,"US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun",1 (1st),33,"US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, US-WestB&A FND09:00PM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, US-WestB&A FND09:00PM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, , , , , , , , , , , , , , , , , "
801188,"US-WestB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday",1 (1st),39,"US-WestB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND09:00AM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, , , , , , , , , , , , , , , , , "
800990,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday",1 (1st),41,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND09:00AM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, , , , , , , , , , , , , , , , , "
800936,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday",1 (1st),56,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND09:00PM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND09:00PM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, , , , , , , , , , , , , , , , , "
800985,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday",1 (1st),63,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND09:00PM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND09:00PM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, , , , , , , , , , , , , , , , , "
800944,"US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun",1 (1st),67,"US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, US-WestB&A FND09:00AM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, , , , , , , , , , , , , , , , , "
801191,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday",1 (1st),68,"US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND09:00PM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND09:00PM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, , , , , , , , , , , , , , , , , "
801279,"US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun",1 (1st),81,"US-WestB&A FND[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-WestB&A FND[4x10] 08:00AM - 07:00PM, ===WRFY, Sat, US-WestB&A FND08:00AM - 05:00PM, SMTWR==, Sun, US-WestB&A FND08:00AM - 05:00PM, ==TWRFY, Sat, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:15AM - 05:15PM, =MTWRF=, Weekday, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND08:30AM - 05:30PM, SMTWR==, Sun, US-WestB&A FND09:00PM - 06:00PM, ==TWRFY, Sat, US-WestB&A FND09:00PM - 06:00PM, =MTWRF=, Weekday, US-WestB&A FND09:15PM - 06:15PM, =MTWRF=, Weekday, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:00AM - 07:00PM, ==TWRFY, Sat, US-WestB&A FND10:30AM - 07:30PM, =MTWRF=, Weekday, US-WestB&A FND10:30AM - 07:30PM, SMTWR==, Sun, US-WestB&A FND10:45AM - 07:45PM, SMTWR==, Sun, US-WestB&A FND11:00AM - 08:00PM, =MTWRF=, Weekday, US-WestB&A FND11:15AM - 08:15PM, SMTWR==, Sun, , , , , , , , , , , , , , , , , "
