User,Assigned Item,Choice #,Rank,All Selections
801243,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday",1 (1st),54,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, , , , , , , , "
801241,"IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat",1 (1st),72,"IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, , , , , , , , "
801253,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday",1 (1st),75,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, , , , , , , , "
801249,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday",1 (1st),79,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, , , , , , , , "
801236,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday",1 (1st),84,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, , , , , , , , "
801235,"IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun",1 (1st),92,"IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, , , , , , , , "
801239,"IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun",1 (1st),98,"IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, , , , , , , , "
801238,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday",1 (1st),100,"IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, , , , , , , , "
801248,"IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat",1 (1st),101,"IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, , , , , , , , "
801016,"IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday",1 (1st),104,"IRLB&A FND[4x10] 09:00AM - 08:00PM, =MTWR==, Weekday, IRLB&A FND07:00AM - 04:00PM, SMTWR==, Sun, IRLB&A FND07:00AM - 04:00PM, ==TWRFY, Sat, IRLB&A FND10:00AM - 07:00PM, SMTWR==, Sun, IRLB&A FND10:00AM - 07:00PM, =MTWRF=, Weekday, IRLB&A FND09:00AM - 06:00PM, =MTWRF=, Weekday, IRLB&A FND09:15AM - 06:15PM, =MTWRF=, Weekday, , , , , , , , "
