User,Assigned Item,Choice #,Rank,All Selections
316,"US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday",1 (1st),1,"US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, , , , , , , , , , , "
612,"US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday",1 (1st),4,"US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, , , , , , , , , , , "
1770,"US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun",1 (1st),12,"US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, , , , , , , , , , , "
1663,"US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday",1 (1st),13,"US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, , , , , , , , , , , "
1772,"US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday",1 (1st),16,"US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, , , , , , , , , , , "
2641,"US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun",1 (1st),17,"US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, , , , , , , , , , , "
2172,"US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday",1 (1st),20,"US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, , , , , , , , , , , "
2439,"US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat",1 (1st),22,"US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, , , , , , , , , , , "
1549,"US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday",1 (1st),28,"US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, , , , , , , , , , , "
2085,"US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday",1 (1st),37,"US-EastC&D INT09:15AM - 06:15PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT09:00AM - 06:00PM, =MTWRF=, Weekday, US-EastC&D INT08:30AM - 05:30PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 08:30AM - 07:30PM, =MTWR==, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT08:00AM - 05:00PM, =MTWRF=, Weekday, US-EastC&D INT09:30AM - 06:30PM, =MTWRF=, Weekday, US-EastC&D INT09:45AM - 06:45PM, =MTWRF=, Weekday, US-EastC&D INT07:00AM - 04:00PM, =MTWRF=, Weekday, US-EastC&D INT[4x10] 09:00AM - 08:00PM, SMTW===, Sun, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:00AM - 07:00PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT10:30AM - 07:30PM, =MTWRF=, Weekday, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT07:30AM - 04:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT09:30AM - 06:30PM, ==TWRFY, Sat, US-EastC&D INT10:00AM - 07:00PM, ==TWRFY, Sat, US-EastC&D INT08:30AM - 05:30PM, SMTWR==, Sun, US-EastC&D INT10:15AM - 07:15PM, SMT==FY, Both, US-EastC&D INT08:00AM - 05:00PM, SM==RFY, Both, , , , , , , , , , , "
